Mon,Mkt_Rf,rf,SMB,VMG
201306,-0.129982519,0.002466,-0.020565024,0.032124914
201307,0.025326067,0.002466,0.034103758,-0.015380335
201308,0.048091321,0.002466,0.040838886,-0.007755227
201309,0.039421007,0.002466,-0.003310724,-0.024112326
201310,-0.023792093,0.002466,0.019273842,0.046171202
201311,0.042230824,0.002466,0.046144391,-0.007561306
201312,-0.045890339,0.002466,0.021974831,0.034280618
201401,-0.024734442,0.002466,0.034988485,-0.029303033
201402,0.006846904,0.002466,0.03457621,-0.018664597
201403,-0.023034753,0.002466,0.026167111,0.036974926
201404,-0.00918202,0.002466,-0.005582524,0.014947431
201405,0.011701818,0.002466,0.008858003,-0.027160334
201406,0.022391259,0.002466,0.023991992,-0.016693468
201407,0.078757315,0.002466,0.013850905,0.013327515
201408,0.01057874,0.002466,0.03631762,-0.024472992
201409,0.06886069,0.002466,0.071432893,-0.038758051
201410,0.016448437,0.002466,0.004784336,0.027268778
201411,0.090841322,0.002263,-0.014619995,0.04048638
201412,0.160983615,0.002263,-0.184601324,0.142258085
201501,-0.00219466,0.002263,0.076879554,-0.026997992
201502,0.038463465,0.002263,0.016802397,-0.034635271
201503,0.144758216,0.00206,0.083108113,-0.045665355
201504,0.164554752,0.00206,-0.014947106,-0.014633527
201505,0.066556308,0.001856,0.185708191,-0.092573765
201506,-0.070485102,0.001652,-0.021303615,0.087226893
201507,-0.145105949,0.001652,-0.051859888,0.060270526
201508,-0.135502687,0.001447,0.011401075,0.010185742
201509,-0.03863514,0.001447,0.034299632,0.027340935
201510,0.14074503,0.001241,0.096126755,-0.052766421
201511,0.036502391,0.001241,0.110925399,0.004783773
201512,0.033883328,0.001241,0.050312114,0.021084865
201601,-0.247679368,0.001241,-0.049318918,0.056312958
201602,-0.02219763,0.001241,0.002557344,0.00220683
201603,0.14266983,0.001241,0.073966673,-0.000142897
201604,-0.024092993,0.001241,0.028691661,0.002173569
201605,-0.001941196,0.001241,-0.012363678,0.028937834
201606,0.023597512,0.001241,0.04738996,0.001472747
